Model,Type,Resampling,Accuracy,F1_Macro,Precision,Recall
DecisionTree,BaseClassifier,None,0.9906462585034014,0.984772901842614,0.9887611429526403,0.9809716539168595
LogisticRegression,BaseClassifier,None,0.8630952380952381,0.792176886631685,0.7982056145263656,0.7871029275138864
SVM,BaseClassifier,None,0.9863945578231292,0.9806747687633406,0.9839262485339108,0.9775469963826128
KNN,BaseClassifier,None,0.9880952380952381,0.9817515815178836,0.9897774535646181,0.9744781474233529
RandomForest,BaseClassifier,None,0.9889455782312925,0.9833739300818639,0.9892816035914085,0.9778558579928442
GradientBoosting,BaseClassifier,None,0.9906462585034014,0.9870140396414554,0.9888936049801923,0.9851820553875349
XGBoost,BaseClassifier,None,0.9889455782312925,0.9833739300818639,0.9892816035914085,0.9778558579928442
DecisionTree,BaseClassifier,KMeansSMOTE,0.9889455782312925,0.9834480701100929,0.987648432679605,0.9794495839016387
LogisticRegression,BaseClassifier,KMeansSMOTE,0.8571428571428571,0.8057441630510116,0.7995459162700165,0.8221426594714266
SVM,BaseClassifier,KMeansSMOTE,0.9880952380952381,0.9835014510595964,0.9851596437950665,0.9818760007116172
KNN,BaseClassifier,KMeansSMOTE,0.9880952380952381,0.9817515815178836,0.9897774535646181,0.9744781474233529
RandomForest,BaseClassifier,KMeansSMOTE,0.9889455782312925,0.9834480701100929,0.987648432679605,0.9794495839016387
GradientBoosting,BaseClassifier,KMeansSMOTE,0.9923469387755102,0.9883390234522432,0.9898127483399034,0.9868943841546581
XGBoost,BaseClassifier,KMeansSMOTE,0.9923469387755102,0.9875414651439568,0.991564210374388,0.9837069323370694
DecisionTree,BaseClassifier,ClusterCentroids,0.9906462585034014,0.986275269883372,0.9888500357923221,0.983778588230643
LogisticRegression,BaseClassifier,ClusterCentroids,0.8511904761904762,0.7903224224450348,0.7878588642801146,0.7930034197157485
SVM,BaseClassifier,ClusterCentroids,0.9880952380952381,0.9844062344530388,0.9807390216105968,0.9882509043467947
KNN,BaseClassifier,ClusterCentroids,0.9880952380952381,0.9820772233544882,0.9833369822907345,0.9808530510585305
RandomForest,BaseClassifier,ClusterCentroids,0.9889455782312925,0.9833739300818639,0.9892816035914085,0.9778558579928442
GradientBoosting,BaseClassifier,ClusterCentroids,0.9923469387755102,0.990544696093627,0.9884558838490474,0.9926985115341281
XGBoost,BaseClassifier,ClusterCentroids,0.9906462585034014,0.98621566601862,0.9904495849373715,0.9821848623218487
DecisionTree,BaseClassifier,SMOTEENN,0.9778911564625851,0.9696671689829026,0.9576254613208411,0.9842085235920853
LogisticRegression,BaseClassifier,SMOTEENN,0.8486394557823129,0.8052913505868635,0.8047696350371413,0.8538046808594754
SVM,BaseClassifier,SMOTEENN,0.9761904761904762,0.970276215684924,0.9597028970894669,0.9826864535768646
KNN,BaseClassifier,SMOTEENN,0.9668367346938775,0.9560709132137704,0.9428971564762931,0.9723877720453062
RandomForest,BaseClassifier,SMOTEENN,0.983843537414966,0.9774182005138349,0.9687825047232183,0.987181007728953
GradientBoosting,BaseClassifier,SMOTEENN,0.9795918367346939,0.9741462613846398,0.96396504995257,0.9859208523592086
XGBoost,BaseClassifier,SMOTEENN,0.9795918367346939,0.9714533779329314,0.9616754565472515,0.9827334005416196
VotingClassifier,Ensemble,None,0.9889455782312925,0.9833739300818639,,
StackingClassifier,Ensemble,None,0.9906462585034014,0.9860937984682461,,
BaggingClassifier,Ensemble,None,0.9906462585034014,0.984772901842614,,
VotingClassifier,Ensemble,KMeansSMOTE,0.9906462585034014,0.986275269883372,,
StackingClassifier,Ensemble,KMeansSMOTE,0.9906462585034014,0.9860937984682461,,
BaggingClassifier,Ensemble,KMeansSMOTE,0.9889455782312925,0.9834480701100929,,
VotingClassifier,Ensemble,ClusterCentroids,0.9906462585034014,0.98621566601862,,
StackingClassifier,Ensemble,ClusterCentroids,0.9889455782312925,0.9831984578989821,,
BaggingClassifier,Ensemble,ClusterCentroids,0.9906462585034014,0.98621566601862,,
VotingClassifier,Ensemble,SMOTEENN,0.9829931972789115,0.9774423050117563,,
StackingClassifier,Ensemble,SMOTEENN,0.9787414965986394,0.9707645628824464,,
BaggingClassifier,Ensemble,SMOTEENN,0.9812925170068028,0.9741103988603989,,
DT_Balanced,CostSensitive,None,0.9906462585034014,0.9863919016545314,0.9858285084091536,0.9869660400482317
DT_Custom,CostSensitive,None,0.9906462585034014,0.9863919016545314,0.9858285084091536,0.9869660400482317
LR_Balanced,CostSensitive,None,0.8545918367346939,0.822306736496944,0.8093214722627117,0.864864397398644
LR_Custom,CostSensitive,None,0.8545918367346939,0.8180891140784924,0.8096628349004956,0.859964616813932
SVM_Balanced,CostSensitive,None,0.9812925170068028,0.9742935999186,0.9635754820472969,0.9868721461187215
SVM_Custom,CostSensitive,None,0.9855442176870748,0.9800772421989848,0.9715421695156209,0.9897260273972602
RF_Balanced,CostSensitive,None,0.9906462585034014,0.986275269883372,0.9888500357923221,0.983778588230643
RF_Custom,CostSensitive,None,0.9906462585034014,0.986275269883372,0.9888500357923221,0.983778588230643
DecisionTree_Tuned,Tuned,ClusterCentroids,0.9914965986394558,0.9878314385028256,,
SVM_Tuned,Tuned,ClusterCentroids,0.9965986394557823,0.9945810203542162,,
KNN_Tuned,Tuned,ClusterCentroids,0.9923469387755102,0.9876020215312679,,
RandomForest_Tuned,Tuned,KMeansSMOTE,0.9889455782312925,0.9834480701100929,,
GradientBoosting_Tuned,Tuned,ClusterCentroids,0.9889455782312925,0.9833739300818639,,
XGBoost_Tuned,Tuned,KMeansSMOTE,0.9923469387755102,0.9875414651439568,,
BaggingClassifier_Tuned,Tuned,ClusterCentroids,0.9906462585034014,0.98621566601862,,
